epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time
1,1.9913261485099794,0.4683333333333333,,,4.193501949310303
2,1.7047687816619872,0.7591372549019608,,,4.059565782546997
3,1.6301800954341887,0.8333333333333334,,,4.24537992477417
4,1.5850108182430267,0.8777647058823529,,,4.1070332527160645
5,1.5738460111618042,0.8879607843137255,,,4.234929800033569
6,1.564594396352768,0.8973137254901961,,,4.685042381286621
7,1.5606914484500884,0.9007254901960784,,,4.249661922454834
8,1.5602844405174254,0.9010392156862745,,,4.337031841278076
9,1.5522417473793029,0.909235294117647,,,4.579827785491943
10,1.5489416098594666,0.9124901960784314,,,4.633746147155762
11,1.5446839869022368,0.9168039215686274,,,4.665621042251587
12,1.545093171596527,0.916235294117647,,,4.141400098800659
13,1.5472685551643373,0.9136862745098039,,,4.098521709442139
14,1.543120392560959,0.9182549019607843,,,4.284938097000122
15,1.5419833028316499,0.9192745098039216,,,4.395937919616699
16,1.5402230906486511,0.9210392156862746,,,4.254094123840332
17,1.5428277230262757,0.9185294117647059,,,4.303473949432373
18,1.5440531015396117,0.9170588235294118,,,4.240906000137329
19,1.5406589925289154,0.9202941176470588,,,4.361407995223999
20,1.5404484736919404,0.9206078431372549,,,4.95455265045166
