epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time
1,2.2170782828330995,0.17419607843137255,,,4.867913007736206
2,2.1108768510818483,0.3246470588235294,,,5.404922962188721
3,1.9943372702598572,0.4587450980392157,,,4.96308708190918
4,1.918390474319458,0.5315490196078432,,,5.021274089813232
5,1.8965228986740112,0.5484509803921569,,,5.24852991104126
6,1.8936206638813018,0.554078431372549,,,5.13915491104126
7,1.8930212891101836,0.5552745098039216,,,4.8772430419921875
8,1.893484354019165,0.5540588235294117,,,4.880800008773804
9,1.8938985967636108,0.5552941176470588,,,5.07709002494812
10,1.8828844785690309,0.5644313725490196,,,5.097804069519043
11,1.9038241124153137,0.5532156862745098,,,5.2402777671813965
12,1.8960175561904906,0.557156862745098,,,5.061227798461914
13,1.887827662229538,0.5607450980392157,,,5.368638277053833
14,1.8927644193172455,0.5568627450980392,,,4.927839994430542
15,1.8837536895275115,0.564921568627451,,,4.887894868850708
16,1.8738122355937958,0.5801960784313726,,,5.242074966430664
17,1.8427106416225434,0.6104117647058823,,,5.257923126220703
18,1.8387713074684142,0.6175686274509804,,,4.732497930526733
19,1.8504346907138824,0.6062745098039216,,,4.668982028961182
20,1.848437761068344,0.6047254901960785,,,5.090012073516846
