epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time
1,2.1467413890361784,0.26998039215686276,,,4.4983811378479
2,1.8981858050823213,0.5431176470588235,,,4.4772820472717285
3,1.7499679946899414,0.7123921568627452,,,4.880151987075806
4,1.6331479966640472,0.8335490196078431,,,4.4724650382995605
5,1.596157785654068,0.866,,,4.698157072067261
6,1.5893877971172332,0.8721176470588236,,,4.642308950424194
7,1.5846665549278258,0.8767450980392156,,,4.749063968658447
8,1.5744672524929046,0.8868627450980392,,,4.932528257369995
9,1.5792171478271484,0.8821764705882353,,,4.355749845504761
10,1.583738888502121,0.8773529411764706,,,4.505608081817627
11,1.573517404794693,0.8877254901960784,,,4.498151779174805
12,1.5714618229866029,0.8898627450980392,,,4.535128831863403
13,1.5779063177108765,0.883235294117647,,,4.4954493045806885
14,1.5812320172786714,0.8796666666666667,,,4.566548109054565
15,1.5754591190814973,0.8856274509803922,,,4.5938169956207275
16,1.570792509317398,0.8902549019607843,,,5.107545852661133
17,1.5705024671554566,0.8905294117647059,,,4.620871067047119
18,1.579812914133072,0.8812549019607843,,,5.1488049030303955
19,1.5794159269332886,0.8814313725490196,,,4.696340799331665
20,1.5717179441452027,0.8894313725490196,,,4.4614951610565186
